[19-Nov-2025 19:20:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'imap.so' (tried: /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so, 9): image not found), /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:20:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pgsql.so' (tried: /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:20:07 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql.so' (tried: /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:20:08 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'imap.so' (tried: /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so, 9): image not found), /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/imap.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:20:08 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pgsql.so' (tried: /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:20:08 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql.so' (tried: /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.3.27/lib/php/extensions/no-debug-non-zts-20230831/pdo_pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:32:33 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pgsql.so' (tried: /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:32:33 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql.so' (tried: /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:32:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pgsql.so' (tried: /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:32:37 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pdo_pgsql.so' (tried: /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.4.14/lib/php/extensions/no-debug-non-zts-20240924/pdo_pgsql.so.so, 9): image not found)) in Unknown on line 0
[19-Nov-2025 19:45:46 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'pgsql.so' (tried: /Applications/MAMP/bin/php/php8.5.0RC5/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so (dlopen(/Applications/MAMP/bin/php/php8.5.0RC5/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so, 9): image not found), /Applications/MAMP/bin/php/php8.5.0RC5/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so.so (dlopen(/Applications/MAMP/bin/php/php8.5.0RC5/lib/php/extensions/no-debug-non-zts-20250925/pgsql.so.so, 9): image not found)) in Unknown on line 0
